t_start,t_end,pos_x,pos_y
191762,192042,1217.0,995.2000122070312
192067,192169,1246.5999755859375,991.0
192320,192584,1260.800048828125,984.7000122070312
192611,192819,1209.5,978.2000122070312
192847,193128,1253.9000244140625,979.2000122070312
193155,193352,1213.5999755859375,981.7000122070312
193377,193976,1242.0999755859375,982.7000122070312
194001,194220,1211.800048828125,986.5999755859375
194247,194463,1251.5999755859375,985.0999755859375
194492,196966,1216.800048828125,990.0999755859375
196993,197175,1265.0,1014.0999755859375
197202,197383,1262.5999755859375,1055.0
197403,199085,1270.800048828125,1071.199951171875
200277,200392,1201.0999755859375,960.9000244140625
200417,200883,1208.800048828125,974.0999755859375
200891,202882,1216.9000244140625,976.4000244140625
204676,205246,1210.300048828125,962.7999877929688
205271,205757,1196.800048828125,1016.4000244140625
205776,205952,1196.5,1036.699951171875
206000,206306,1260.800048828125,944.0999755859375
206346,206562,1190.199951171875,967.7999877929688
206584,206738,1166.4000244140625,972.5999755859375
206767,206939,1153.800048828125,927.0999755859375
206974,207206,1234.0,895.7999877929688
207227,208747,1253.9000244140625,908.2000122070312
209591,209806,1232.800048828125,916.0
209832,211318,1206.5,967.0
211350,211587,1257.5999755859375,955.5
211612,211826,1265.9000244140625,1001.5
211848,213933,1278.800048828125,988.2000122070312
215901,216539,1213.199951171875,974.2000122070312
216560,216720,1190.5,1001.7000122070312
216747,218953,1234.199951171875,1042.9000244140625
219847,220200,1218.699951171875,953.2000122070312
220220,221065,1206.5999755859375,969.0
221084,221295,1211.300048828125,1002.4000244140625
221320,221582,1229.300048828125,1042.9000244140625
221608,221888,1193.4000244140625,1035.5999755859375
221934,222352,1147.300048828125,936.0
222391,222700,1255.5,916.0
222725,222818,1275.199951171875,894.9000244140625
222844,224701,1277.5,957.9000244140625
225489,225792,1241.0,976.4000244140625
225815,226400,1200.0,965.5
226412,226660,1205.199951171875,964.5999755859375
226685,228049,1176.800048828125,989.0
229088,229233,1240.800048828125,942.5
229259,230399,1206.699951171875,966.7000122070312
230429,230738,1222.800048828125,1030.4000244140625
230769,231078,1170.300048828125,1031.699951171875
231118,231446,1177.0999755859375,939.7999877929688
231485,231726,1269.9000244140625,924.0
231747,231925,1281.699951171875,945.2000122070312
231937,233357,1290.0999755859375,945.7000122070312
234196,234689,1204.300048828125,965.5
234709,234988,1212.199951171875,966.5
235138,235424,1197.9000244140625,969.2000122070312
235449,236809,1234.800048828125,978.2999877929688
237147,237217,1237.5999755859375,977.4000244140625
237376,238023,1212.0999755859375,964.7999877929688
238440,238821,1204.9000244140625,973.7000122070312
238845,239046,1233.800048828125,969.5
239066,240283,1252.0999755859375,968.5999755859375
240466,240498,1212.699951171875,970.0999755859375
241242,241671,1224.199951171875,973.7000122070312
241693,241989,1197.800048828125,958.5999755859375
242001,242357,1206.800048828125,963.0
242377,242552,1225.199951171875,984.0
242588,244331,1153.199951171875,918.2999877929688
245224,246430,1212.199951171875,970.9000244140625
246453,246625,1218.4000244140625,1017.2999877929688
246653,246949,1261.800048828125,1020.9000244140625
246968,247226,1248.9000244140625,1049.5999755859375
247256,247281,1283.199951171875,945.2000122070312
247293,247552,1274.199951171875,903.2000122070312
247572,248939,1287.5999755859375,906.2999877929688
249926,251216,1205.9000244140625,965.5999755859375
251238,251401,1226.5999755859375,982.2999877929688
251422,251761,1240.699951171875,1025.0999755859375
251802,252091,1280.4000244140625,952.0
252118,252334,1291.9000244140625,911.2999877929688
252377,252647,1166.5,920.2999877929688
252679,253039,1221.5999755859375,943.7000122070312
253109,253497,1201.4000244140625,1053.9000244140625
253543,253853,1283.699951171875,1042.9000244140625
253885,254261,1317.0,995.2000122070312
254304,254757,1301.699951171875,928.0999755859375
254798,255000,1200.9000244140625,883.2000122070312
255023,256111,1212.5,883.9000244140625
257153,257557,1207.300048828125,952.2000122070312
257580,258419,1211.300048828125,967.9000244140625
258444,258915,1210.0,1014.5999755859375
258961,259225,1130.800048828125,920.5999755859375
259246,260339,1120.199951171875,934.0999755859375
261493,261919,1208.5,949.5
261930,262935,1203.300048828125,962.2000122070312
262957,263315,1210.9000244140625,1008.5
263356,263557,1156.800048828125,926.2000122070312
263603,263684,1138.0999755859375,967.7999877929688
263707,264112,1139.5999755859375,987.9000244140625
264160,264362,1244.800048828125,898.7999877929688
264388,264539,1276.5999755859375,882.7000122070312
264578,264787,1188.5999755859375,913.2000122070312
264823,265230,1284.199951171875,933.2999877929688
265274,265587,1212.5,913.7999877929688
265603,266489,1220.800048828125,894.7999877929688
266760,267033,1216.4000244140625,933.4000244140625
267047,267638,1212.0,962.2999877929688
267647,268616,1211.199951171875,977.7999877929688
268634,268887,1207.9000244140625,967.0999755859375
268912,269047,1203.300048828125,1003.5
269072,269473,1197.5,1037.699951171875
269506,269822,1255.0999755859375,1049.0999755859375
269842,271165,1239.5,1059.5
272034,272170,1215.699951171875,936.7000122070312
272199,273116,1193.9000244140625,970.7000122070312
273129,273440,1206.800048828125,968.2000122070312
273477,274658,1290.0,965.5
276104,277124,1201.4000244140625,959.2999877929688
277147,277377,1194.800048828125,990.5
277401,277754,1190.9000244140625,1027.4000244140625
277781,278209,1230.0999755859375,1046.0999755859375
278257,278480,1298.4000244140625,945.0999755859375
278503,278798,1275.800048828125,956.5999755859375
278821,279287,1306.4000244140625,959.2000122070312
279328,279683,1209.199951171875,906.7999877929688
279707,279996,1229.9000244140625,911.2000122070312
280022,280345,1234.0999755859375,882.7000122070312
